year,state_fips,state_abbr,state_name,observed_majority_cell_count,observed_majority_area_km2,rasterized_state_area_km2,state_land_area_km2,observed_majority_share_state_area,majority_dominant_code,majority_dominant_label,majority_dominant_slug,majority_dominant_cell_count,majority_dominant_area_km2,majority_dominant_share_observed,majority_dominant_share_state_area,majority_cells_agriculture,majority_cells_commercial,majority_cells_governmental,majority_cells_industrial,majority_cells_no_classified_land_use_record,majority_cells_recreational,majority_cells_residential_income,majority_cells_residential_owned,majority_cells_vacant_land,majority_area_km2_agriculture,majority_area_km2_commercial,majority_area_km2_governmental,majority_area_km2_industrial,majority_area_km2_no_classified_land_use_record,majority_area_km2_recreational,majority_area_km2_residential_income,majority_area_km2_residential_owned,majority_area_km2_vacant_land,majority_share_observed_agriculture,majority_share_observed_commercial,majority_share_observed_governmental,majority_share_observed_industrial,majority_share_observed_recreational,majority_share_observed_residential_income,majority_share_observed_residential_owned,majority_share_observed_vacant_land,majority_share_state_area_agriculture,majority_share_state_area_commercial,majority_share_state_area_governmental,majority_share_state_area_industrial,majority_share_state_area_no_classified_land_use_record,majority_share_state_area_recreational,majority_share_state_area_residential_income,majority_share_state_area_residential_owned,majority_share_state_area_vacant_land,cumulative_through_year,total_property_record_count,counts_dominant_code,counts_dominant_label,counts_dominant_slug,counts_dominant_record_count,counts_dominant_record_share,counts_dominant_occupied_cell_count,counts_dominant_occupied_area_km2,record_count_agriculture,record_count_commercial,record_count_governmental,record_count_industrial,record_count_recreational,record_count_residential_income,record_count_residential_owned,record_count_vacant_land,record_share_agriculture,record_share_commercial,record_share_governmental,record_share_industrial,record_share_recreational,record_share_residential_income,record_share_residential_owned,record_share_vacant_land,occupied_cells_agriculture,occupied_cells_commercial,occupied_cells_governmental,occupied_cells_industrial,occupied_cells_recreational,occupied_cells_residential_income,occupied_cells_residential_owned,occupied_cells_vacant_land,occupied_area_km2_agriculture,occupied_area_km2_commercial,occupied_area_km2_governmental,occupied_area_km2_industrial,occupied_area_km2_recreational,occupied_area_km2_residential_income,occupied_area_km2_residential_owned,occupied_area_km2_vacant_land,records_per_occupied_cell_agriculture,records_per_occupied_cell_commercial,records_per_occupied_cell_governmental,records_per_occupied_cell_industrial,records_per_occupied_cell_recreational,records_per_occupied_cell_residential_income,records_per_occupied_cell_residential_owned,records_per_occupied_cell_vacant_land,property_records_per_observed_majority_km2
1940,01,AL,Alabama,68675,4292.1875,133891.25,131175.460655,0.032057266624966156,RO,Residential-Owned,residential_owned,53298,3331.125,0.7760902803057881,0.02487933304080737,278.0,11576.0,175.0,25.0,2073585.0,160.0,1415.0,53298.0,1748.0,17.375,723.5,10.9375,1.5625,129599.0625,10.0,88.4375,3331.125,109.25,0.004048052420822716,0.16856206771022933,0.0025482344375682563,0.00036403349108117945,0.0023298143429195486,0.020604295595194756,0.7760902803057881,0.025453221696396067,0.0001297694957661535,0.00540363914744242,8.168943078804626e-05,1.166991868400661e-05,0.9679427333750339,7.46874795776423e-05,0.0006605173975147741,0.02487933304080737,0.0008159607143857422,1944,326980,RO,Residential-Owned,residential_owned,285835,0.8741666156951495,66302,4143.875,406.0,29496.0,435.0,63.0,260.0,7369.0,285835.0,3116.0,0.0012416661569514954,0.09020735213162885,0.001330356596733745,0.00019267233469936999,0.000795155667013273,0.02253654657777234,0.8741666156951495,0.00952963484005138,294.0,12886.0,283.0,36.0,189.0,2124.0,66302.0,2621.0,18.375,805.375,17.6875,2.25,11.8125,132.75,4143.875,163.8125,1.380952380952381,2.2889958094055562,1.5371024734982333,1.75,1.3756613756613756,3.46939736346516,4.311106753944074,1.1888592140404426,76.1802693847834
1940,04,AZ,Arizona,6724,420.25,295234.5625,294360.991275,0.0014234444519008508,C,Commercial,commercial,3323,207.6875,0.49419988102320045,0.0007034660787725353,260.0,3323.0,149.0,84.0,4717029.0,49.0,393.0,2355.0,111.0,16.25,207.6875,9.3125,5.25,294814.3125,3.0625,24.5625,147.1875,6.9375,0.03866745984533016,0.49419988102320045,0.022159428911362283,0.012492563950029744,0.007287328970850684,0.05844735276621059,0.3502379535990482,0.016508030933967875,5.504098118593415e-05,0.0007034660787725353,3.1542716141169956e-05,1.7782470844686418e-05,0.9985765555480991,1.0373107992733744e-05,8.319656002335432e-05,0.0004985442718956728,2.3498265044764196e-05,1944,56843,RO,Residential-Owned,residential_owned,35237,0.6199004274932709,5980,373.75,764.0,16026.0,563.0,358.0,182.0,3407.0,35237.0,306.0,0.013440529176855549,0.2819344510317893,0.009904473725876536,0.006298049012191474,0.003201801453125275,0.059937019509878085,0.6199004274932709,0.005383248597012825,310.0,3714.0,264.0,121.0,68.0,682.0,5980.0,188.0,19.375,232.125,16.5,7.5625,4.25,42.625,373.75,11.75,2.464516129032258,4.315024232633279,2.132575757575758,2.958677685950413,2.676470588235294,4.995601173020527,5.89247491638796,1.627659574468085,135.25996430696014
1940,05,AR,Arkansas,21496,1343.5,137782.4375,134660.850501,0.009750879897156704,RO,Residential-Owned,residential_owned,18880,1180.0,0.8783029400818757,0.00856422648205799,6.0,1599.0,29.0,2.0,2183023.0,55.0,702.0,18880.0,223.0,0.375,99.9375,1.8125,0.125,136438.9375,3.4375,43.875,1180.0,13.9375,0.0002791216970599181,0.07438593226646818,0.001349088202456271,9.304056568663938e-05,0.002558615556382583,0.03265723855601042,0.8783029400818757,0.01037402307406029,2.721682144721819e-06,0.0007253282915683648,1.3154797032822125e-05,9.072273815739398e-07,0.9902491201028433,2.4948752993283343e-05,0.0003184368109324528,0.00856422648205799,0.00010115585304549427,1944,87676,RO,Residential-Owned,residential_owned,78501,0.8953533464117889,21005,1312.8125,15.0,5759.0,80.0,5.0,93.0,2856.0,78501.0,367.0,0.00017108444728317898,0.06568502212692184,0.0009124503855102878,5.702814909439299e-05,0.0010607235731557097,0.032574478762717275,0.8953533464117889,0.004185866143528446,8.0,1867.0,45.0,3.0,66.0,936.0,21005.0,321.0,0.5,116.6875,2.8125,0.1875,4.125,58.5,1312.8125,20.0625,1.875,3.0846277450455277,1.7777777777777777,1.6666666666666667,1.4090909090909092,3.051282051282051,3.7372530349916686,1.1433021806853583,65.25939709713435
1940,06,CA,California,102271,6391.9375,409818.125,403671.196038,0.015597010259124093,RO,Residential-Owned,residential_owned,42284,2642.75,0.41345053827575756,0.006448592287127369,2370.0,32517.0,667.0,405.0,6454819.0,604.0,21162.0,42284.0,2262.0,148.125,2032.3125,41.6875,25.3125,403426.1875,37.75,1322.625,2642.75,141.375,0.023173724711795133,0.31794936981157906,0.006521887925218292,0.003960066881129548,0.005905877521487029,0.20692082799620615,0.41345053827575756,0.022117706876827254,0.0003614408220719862,0.004959059582833238,0.00010172195287848725,6.176520377179511e-05,0.9844029897408759,9.211403229176358e-05,0.0032273462770832794,0.006448592287127369,0.00034497010106617415,1944,2016953,RO,Residential-Owned,residential_owned,1165660,0.5779311664674388,91608,5725.5,5689.0,584888.0,2184.0,1134.0,1251.0,252488.0,1165660.0,3659.0,0.002820591258199869,0.28998593422851204,0.0010828214638615773,0.0005622342216204343,0.0006202425143273046,0.12518288725617305,0.5779311664674388,0.0018141225898669925,2608.0,51854.0,1014.0,501.0,773.0,30426.0,91608.0,3097.0,163.0,3240.875,63.375,31.3125,48.3125,1901.625,5725.5,193.5625,2.1813650306748467,11.27951556292668,2.1538461538461537,2.2634730538922154,1.6183699870633894,8.298428975218563,12.724434547201119,1.1814659347755894,315.5464207839955
1940,08,CO,Colorado,38139,2383.6875,269598.0,268418.746964,0.00884163643647208,RO,Residential-Owned,residential_owned,27491,1718.1875,0.7208107186869084,0.0063731463141417964,1675.0,5718.0,478.0,80.0,4275429.0,233.0,1673.0,27491.0,791.0,104.6875,357.375,29.875,5.0,267214.3125,14.5625,104.5625,1718.1875,49.4375,0.04391829885419125,0.1499252733422481,0.012533102598390099,0.002097590393036,0.006109232019717349,0.04386585909436535,0.7208107186869084,0.02073992501114345,0.00038830963137708737,0.0013255847595308571,0.00011081313659596881,1.8546131647860888e-05,0.9911583635635279,5.401560842439484e-05,0.00038784597808589087,0.0063731463141417964,0.00018337487666822454,1944,387282,RO,Residential-Owned,residential_owned,338846,0.8749335109816619,35462,2216.375,4071.0,27625.0,1601.0,184.0,583.0,12445.0,338846.0,1927.0,0.010511720141912095,0.07133045171218905,0.004133938577057544,0.000475105995114671,0.0015053630171296367,0.0321342071152287,0.8749335109816619,0.0049757024597063635,1816.0,7321.0,722.0,114.0,296.0,2604.0,35462.0,1121.0,113.5,457.5625,45.125,7.125,18.5,162.75,2216.375,70.0625,2.241740088105727,3.7733916131676,2.2174515235457064,1.6140350877192982,1.9695945945945945,4.779185867895546,9.555185832722351,1.71900089206066,162.47180051915362
1940,09,CT,Connecticut,45646,2852.875,12924.5,12541.688516,0.22073387751943982,RO,Residential-Owned,residential_owned,22487,1405.4375,0.4926390045129913,0.10874211768346938,456.0,12737.0,1208.0,6.0,161146.0,62.0,7952.0,22487.0,738.0,28.5,796.0625,75.5,0.375,10071.625,3.875,497.0,1405.4375,46.125,0.00998992244665469,0.2790386890417561,0.026464531393769444,0.00013144634798229856,0.0013582789291504184,0.17421022652587304,0.4926390045129913,0.016167900801822722,0.002205114317768579,0.06159329181012805,0.005841618631281674,2.9014662075902356e-05,0.7792661224805602,0.00029981817478432436,0.038454098804595924,0.10874211768346938,0.0035688034353359896,1944,513939,RO,Residential-Owned,residential_owned,294760,0.5735310999943573,42187,2636.6875,725.0,87359.0,3758.0,25.0,231.0,125734.0,294760.0,1347.0,0.001410673251105676,0.16997931661150448,0.007312151831248456,4.864390521054055e-05,0.00044946968414539466,0.24464771110968422,0.5735310999943573,0.002620933612743925,489.0,17116.0,2012.0,10.0,83.0,13846.0,42187.0,1108.0,30.5625,1069.75,125.75,0.625,5.1875,865.375,2636.6875,69.25,1.4826175869120655,5.103937835942977,1.86779324055666,2.5,2.783132530120482,9.080889787664308,6.98698651243274,1.2157039711191335,180.1477456951321
1940,10,DE,Delaware,5823,363.9375,5207.0625,5046.731558,0.06989305390515285,RO,Residential-Owned,residential_owned,5080,317.5,0.8724025416452,0.06097487787020033,37.0,321.0,22.0,0.0,77490.0,0.0,280.0,5080.0,83.0,2.3125,20.0625,1.375,0.0,4843.125,0.0,17.5,317.5,5.1875,0.006354113000171733,0.05512622359608449,0.0037781212433453545,0.0,0.0,0.04808517946075906,0.8724025416452,0.014253821054439293,0.0004441083624404355,0.0038529401173886427,0.00026406443172134,0.0,0.9301069460948471,0.0,0.003360820040089782,0.06097487787020033,0.0009962430833123281,1944,66159,RO,Residential-Owned,residential_owned,61067,0.9230339031726598,5736,358.5,71.0,1787.0,37.0,0.0,0.0,3073.0,61067.0,124.0,0.0010731722063513657,0.02701068637675902,0.0005592587554225426,0.0,0.0,0.04644870690306686,0.9230339031726598,0.0018742725857404132,39.0,388.0,27.0,0.0,0.0,411.0,5736.0,108.0,2.4375,24.25,1.6875,0.0,0.0,25.6875,358.5,6.75,1.8205128205128205,4.605670103092783,1.3703703703703705,0.0,0.0,7.476885644768856,10.646269177126918,1.1481481481481481,181.78670788253478
1940,11,DC,District of Columbia,1669,104.3125,176.75,158.316124,0.5901697312588402,RO,Residential-Owned,residential_owned,559,34.9375,0.33493109646494906,0.19766619519094766,0.0,463.0,193.0,1.0,1159.0,48.0,314.0,559.0,91.0,0.0,28.9375,12.0625,0.0625,72.4375,3.0,19.625,34.9375,5.6875,0.0,0.2774116237267825,0.11563810665068903,0.0005991611743559018,0.028759736369083282,0.18813660874775315,0.33493109646494906,0.05452366686638706,0.0,0.1637199434229137,0.06824611032531824,0.0003536067892503536,0.40983026874115985,0.016973125884016973,0.11103253182461104,0.19766619519094766,0.03217821782178218,1944,156172,RO,Residential-Owned,residential_owned,132118,0.8459775119739774,1482,92.625,0.0,4824.0,984.0,4.0,74.0,18033.0,132118.0,135.0,0.0,0.0308890197986835,0.006300745332069769,2.5612785902722638e-05,0.0004738365392003688,0.11546884204594934,0.8459775119739774,0.0008644315242168891,0.0,710.0,281.0,2.0,52.0,807.0,1482.0,121.0,0.0,44.375,17.5625,0.125,3.25,50.4375,92.625,7.5625,0.0,6.794366197183098,3.501779359430605,2.0,1.4230769230769231,22.345724907063197,89.14844804318489,1.115702479338843,1497.155182744158
1940,12,FL,Florida,44525,2782.8125,150864.625,138958.484319,0.018445758904713415,RO,Residential-Owned,residential_owned,31216,1951.0,0.7010892756878159,0.012932123750017607,259.0,6683.0,886.0,195.0,2369309.0,402.0,4041.0,31216.0,843.0,16.1875,417.6875,55.375,12.1875,148081.8125,25.125,252.5625,1951.0,52.6875,0.0058169567658618755,0.1500954519932622,0.019898933183604715,0.004379562043795621,0.009028635597978663,0.09075800112296463,0.7010892756878159,0.01893318360471645,0.00010729818206222963,0.0027686245201617014,0.00036705092396577396,8.078434556808794e-05,0.9815542410952866,0.00016654003547882746,0.0016741002073879148,0.012932123750017607,0.0003492369400712725,1944,369720,RO,Residential-Owned,residential_owned,296272,0.8013415557719356,40628,2539.25,830.0,42957.0,3612.0,468.0,1180.0,22789.0,296272.0,1612.0,0.00224494211835984,0.11618792599805258,0.009769555339175593,0.0012658227848101266,0.003191604457427242,0.06163853727144866,0.8013415557719356,0.004360056258790436,354.0,9094.0,1275.0,260.0,528.0,5648.0,40628.0,1120.0,22.125,568.375,79.6875,16.25,33.0,353.0,2539.25,70.0,2.3446327683615817,4.723663954255553,2.8329411764705883,1.8,2.234848484848485,4.034879603399434,7.292310721669784,1.4392857142857143,132.85839416058394
1940,13,GA,Georgia,77980,4873.75,152571.75,149486.234922,0.03194398700939066,RO,Residential-Owned,residential_owned,60600,3787.5,0.7771223390612978,0.024824385903681384,537.0,10950.0,1213.0,59.0,2363168.0,236.0,2140.0,60600.0,2245.0,33.5625,684.375,75.8125,3.6875,147698.0,14.75,133.75,3787.5,140.3125,0.006886381123364965,0.14042062067196717,0.015555270582200565,0.0007566042575019236,0.0030264170300076942,0.02744293408566299,0.7771223390612978,0.028789433187996923,0.00021997846914648353,0.004485594482595894,0.0004968973614053716,2.4168956572891115e-05,0.9680560129906093,9.667582629156446e-05,0.0008766367299319828,0.024824385903681384,0.0009196492797650942,1944,424650,RO,Residential-Owned,residential_owned,361867,0.8521535382079359,74786,4674.125,1302.0,36941.0,3722.0,156.0,558.0,13160.0,361867.0,6944.0,0.003066054397739315,0.08699164017426116,0.008764865183091958,0.0003673613564111621,0.0013140233133168491,0.030990227245967266,0.8521535382079359,0.016352290121276345,660.0,12961.0,1721.0,79.0,291.0,3200.0,74786.0,3684.0,41.25,810.0625,107.5625,4.9375,18.1875,200.0,4674.125,230.25,1.9727272727272727,2.850165882262171,2.1626961069145847,1.9746835443037976,1.9175257731958764,4.1125,4.838699756638943,1.8849077090119435,87.13003334188254
