year,state_abbr,state_name,acres_cropland_idled,acres_cropland_used_for_crops,acres_cropland_used_for_pasture,acres_defense_industrial,acres_farmsteads_roads_misc_farmland,acres_forest_use_land,acres_grassland_pasture_range,acres_grazed_forest_use_land,acres_miscellaneous_other_land,acres_rural_parks_wildlife,acres_rural_transportation,acres_special_uses_land,acres_total_cropland,acres_total_land,acres_ungrazed_forest_use_land,acres_urban_areas,blocks_250k_cropland_idled,blocks_250k_cropland_used_for_crops,blocks_250k_cropland_used_for_pasture,blocks_250k_defense_industrial,blocks_250k_farmsteads_roads_misc_farmland,blocks_250k_forest_use_land,blocks_250k_grassland_pasture_range,blocks_250k_grazed_forest_use_land,blocks_250k_miscellaneous_other_land,blocks_250k_rural_parks_wildlife,blocks_250k_rural_transportation,blocks_250k_special_uses_land,blocks_250k_total_cropland,blocks_250k_total_land,blocks_250k_ungrazed_forest_use_land,blocks_250k_urban_areas,share_of_total_land_total_cropland,share_of_total_land_cropland_used_for_crops,share_of_total_land_cropland_used_for_pasture,share_of_total_land_cropland_idled,share_of_total_land_grassland_pasture_range,share_of_total_land_forest_use_land,share_of_total_land_grazed_forest_use_land,share_of_total_land_ungrazed_forest_use_land,share_of_total_land_special_uses_land,share_of_total_land_rural_transportation,share_of_total_land_rural_parks_wildlife,share_of_total_land_defense_industrial,share_of_total_land_farmsteads_roads_misc_farmland,share_of_total_land_urban_areas,share_of_total_land_miscellaneous_other_land
2012,AL,Alabama,415000.0,2231000.0,161000.0,158000.0,137000.0,22800000.0,2892000.0,599000.0,975000.0,548000.0,629000.0,1472000.0,2806000.0,32413000.0,22201000.0,1467000.0,1.66,8.924,0.644,0.632,0.548,91.2,11.568,2.396,3.9,2.192,2.516,5.888,11.224,129.652,88.804,5.868,0.08657020331348533,0.06883040755252522,0.00496714281306883,0.01280350476660599,0.08922345972295066,0.7034214666954617,0.018480239410113227,0.6849412272853485,0.04541387714805788,0.019405793971554623,0.016906796655662852,0.004874587356924691,0.004226699163915713,0.045259618054484314,0.030080523246845403
2012,AR,Arkansas,585000.0,7466000.0,184000.0,85000.0,175000.0,18544000.0,4127000.0,2005000.0,157000.0,741000.0,513000.0,1514000.0,8235000.0,33302000.0,16539000.0,727000.0,2.34,29.864,0.736,0.34,0.7,74.176,16.508,8.02,0.628,2.964,2.052,6.056,32.94,133.208,66.156,2.908,0.24728244549876885,0.22419073929493724,0.005525193682061138,0.017566512521770463,0.12392649090144736,0.5568434328268572,0.06020659419854663,0.4966368386283106,0.04546273497087262,0.015404480211398714,0.022250915860909253,0.002552399255299982,0.005254939643264669,0.02183052068944808,0.0047144315656717315
2012,AZ,Arizona,142000.0,908000.0,84000.0,3593000.0,87000.0,13000000.0,43580000.0,12687000.0,1602000.0,7704000.0,535000.0,11919000.0,1134000.0,72700000.0,313000.0,1465000.0,0.568,3.632,0.336,14.372,0.348,52.0,174.32,50.748,6.408,30.816,2.14,47.676,4.536,290.8,1.252,5.86,0.015598349381017881,0.012489683631361761,0.001155433287482806,0.001953232462173315,0.5994497936726272,0.17881705639614856,0.17451169188445667,0.004305364511691884,0.1639477303988996,0.007359009628610729,0.1059697386519945,0.049422283356258596,0.0011966987620357634,0.02015130674002751,0.02203576341127923
2012,CA,California,780000.0,8316000.0,481000.0,3935000.0,275000.0,16991000.0,26667000.0,13409000.0,16269000.0,19623000.0,1062000.0,24896000.0,9577000.0,99699000.0,3582000.0,5299000.0,3.12,33.264,1.924,15.74,1.1,67.964,106.668,53.636,65.076,78.492,4.248,99.584,38.308,398.796,14.328,21.196,0.09605913800539624,0.08341106731261096,0.004824521810650057,0.007823548882135227,0.267475100051154,0.17042297314917904,0.13449482943660418,0.03592814371257485,0.2497116320123572,0.010652062708753348,0.19682243553094816,0.03946880109128477,0.002758302490496394,0.053149981444146885,0.1631811753377667
2012,CO,Colorado,2218000.0,8013000.0,437000.0,470000.0,129000.0,15138000.0,31734000.0,9972000.0,323000.0,6185000.0,672000.0,7455000.0,10668000.0,66331000.0,5166000.0,1012000.0,8.872,32.052,1.748,1.88,0.516,60.552,126.936,39.888,1.292,24.74,2.688,29.82,42.672,265.324,20.664,4.048,0.16082977793188705,0.12080324433522788,0.006588171443216596,0.033438362153442584,0.478418838853628,0.22821908308332453,0.1503369465257572,0.07788213655756736,0.11239088812169272,0.010131009633504696,0.09324448598694426,0.007085676380576202,0.0019447920278602765,0.015256818079027906,0.004869518023247049
2012,CT,Connecticut,9000.0,104000.0,9000.0,2000.0,26000.0,1346000.0,22000.0,21000.0,90000.0,248000.0,65000.0,340000.0,123000.0,3099000.0,1325000.0,1178000.0,0.036,0.416,0.036,0.008,0.104,5.384,0.088,0.084,0.36,0.992,0.26,1.36,0.492,12.396,5.3,4.712,0.03969022265246854,0.03355921264924169,0.002904162633107454,0.002904162633107454,0.007099064214262665,0.43433365601807034,0.006776379477250726,0.4275572765408196,0.10971281058405938,0.020974507905776058,0.08002581477896095,0.0006453694740238787,0.008389803162310423,0.38012262020006454,0.02904162633107454
2012,DE,Delaware,11000.0,420000.0,7000.0,4000.0,7000.0,331000.0,18000.0,3000.0,44000.0,111000.0,20000.0,143000.0,438000.0,1247000.0,328000.0,274000.0,0.044,1.68,0.028,0.016,0.028,1.324,0.072,0.012,0.176,0.444,0.08,0.572,1.752,4.988,1.312,1.096,0.351242983159583,0.3368083400160385,0.0056134723336006415,0.008821170809943865,0.014434643143544507,0.2654370489174018,0.0024057738572574178,0.26303127506014434,0.11467522052927025,0.01603849238171612,0.08901363271852446,0.0032076984763432237,0.0056134723336006415,0.21972734562951082,0.03528468323977546
2012,FL,Florida,452000.0,2122000.0,260000.0,664000.0,141000.0,15827000.0,5100000.0,1376000.0,520000.0,3920000.0,413000.0,5138000.0,2834000.0,34320000.0,14451000.0,4901000.0,1.808,8.488,1.04,2.656,0.564,63.308,20.4,5.504,2.08,15.68,1.652,20.552,11.336,137.28,57.804,19.604,0.08257575757575758,0.06182983682983683,0.007575757575757576,0.01317016317016317,0.1486013986013986,0.46115967365967364,0.04009324009324009,0.4210664335664336,0.1497086247086247,0.012033799533799534,0.11421911421911422,0.01934731934731935,0.004108391608391608,0.1428030303030303,0.015151515151515152
2012,GA,Georgia,457000.0,3799000.0,129000.0,553000.0,125000.0,24352000.0,1680000.0,371000.0,1238000.0,747000.0,521000.0,1946000.0,4385000.0,36808000.0,23981000.0,3207000.0,1.828,15.196,0.516,2.212,0.5,97.408,6.72,1.484,4.952,2.988,2.084,7.784,17.54,147.232,95.924,12.828,0.11913171049771788,0.10321125842208216,0.0035046728971962616,0.01241577917843947,0.04564225168441643,0.6615953053683982,0.010079330580308628,0.6515159747880895,0.052868941534449036,0.014154531623560096,0.020294501195392306,0.01502390784612041,0.0033960008693762226,0.08712779830471637,0.03363399261030211
2012,IA,Iowa,1738000.0,24750000.0,225000.0,51000.0,423000.0,2968000.0,2879000.0,878000.0,606000.0,510000.0,970000.0,1953000.0,26714000.0,35748000.0,2090000.0,628000.0,6.952,99.0,0.9,0.204,1.692,11.872,11.516,3.512,2.424,2.04,3.88,7.812,106.856,142.992,8.36,2.512,0.7472865614859573,0.6923464249748238,0.0062940584088620345,0.04861810450934318,0.08053597404050576,0.0830256238111223,0.024560814591026072,0.05846480922009623,0.054632426988922456,0.027134385140427437,0.01426653239342061,0.001426653239342061,0.011832829808660624,0.017567416358957144,0.01695199731453508
