year,state_abbr,state_name,acres_cropland_idled,acres_cropland_used_for_crops,acres_cropland_used_for_pasture,acres_defense_industrial,acres_farmsteads_roads_misc_farmland,acres_forest_use_land,acres_grassland_pasture_range,acres_grazed_forest_use_land,acres_miscellaneous_other_land,acres_rural_parks_wildlife,acres_rural_transportation,acres_special_uses_land,acres_total_cropland,acres_total_land,acres_ungrazed_forest_use_land,acres_urban_areas,blocks_250k_cropland_idled,blocks_250k_cropland_used_for_crops,blocks_250k_cropland_used_for_pasture,blocks_250k_defense_industrial,blocks_250k_farmsteads_roads_misc_farmland,blocks_250k_forest_use_land,blocks_250k_grassland_pasture_range,blocks_250k_grazed_forest_use_land,blocks_250k_miscellaneous_other_land,blocks_250k_rural_parks_wildlife,blocks_250k_rural_transportation,blocks_250k_special_uses_land,blocks_250k_total_cropland,blocks_250k_total_land,blocks_250k_ungrazed_forest_use_land,blocks_250k_urban_areas,share_of_total_land_total_cropland,share_of_total_land_cropland_used_for_crops,share_of_total_land_cropland_used_for_pasture,share_of_total_land_cropland_idled,share_of_total_land_grassland_pasture_range,share_of_total_land_forest_use_land,share_of_total_land_grazed_forest_use_land,share_of_total_land_ungrazed_forest_use_land,share_of_total_land_special_uses_land,share_of_total_land_rural_transportation,share_of_total_land_rural_parks_wildlife,share_of_total_land_defense_industrial,share_of_total_land_farmsteads_roads_misc_farmland,share_of_total_land_urban_areas,share_of_total_land_miscellaneous_other_land
1945,AL,Alabama,1191000.0,6221000.0,854000.0,231000.0,430000.0,18748000.0,2440000.0,13859000.0,1950000.0,29000.0,384000.0,1074000.0,8266000.0,32690000.0,4889000.0,212000.0,4.764,24.884,3.416,0.924,1.72,74.992,9.76,55.436,7.8,0.116,1.536,4.296,33.064,130.76,19.556,0.848,0.25286020189660446,0.1903028449066993,0.026124197002141327,0.03643315998776384,0.07464056286326094,0.5735087182624656,0.4239522789843989,0.1495564392780667,0.03285408381768125,0.011746711532578771,0.0008871214438666259,0.007066381156316916,0.013153869684918936,0.006485163658611196,0.059651269501376565
1945,AR,Arkansas,991000.0,6130000.0,1651000.0,275000.0,305000.0,19928000.0,2328000.0,16155000.0,1530000.0,137000.0,317000.0,1034000.0,8772000.0,33744000.0,3773000.0,152000.0,3.964,24.52,6.604,1.1,1.22,79.712,9.312,64.62,6.12,0.548,1.268,4.136,35.088,134.976,15.092,0.608,0.2599573257467994,0.1816619250829777,0.048927216690374586,0.02936818397344713,0.0689900426742532,0.5905642484589853,0.47875177809388336,0.11181247036510195,0.03064248458985301,0.009394262683736368,0.004059981033665244,0.00814959696538644,0.00903864390706496,0.0045045045045045045,0.04534139402560455
1945,AZ,Arizona,56000.0,673000.0,230000.0,5080000.0,299000.0,19466000.0,43365000.0,16791000.0,1769000.0,1455000.0,254000.0,7088000.0,959000.0,72691000.0,2675000.0,44000.0,0.224,2.692,0.92,20.32,1.196,77.864,173.46,67.164,7.076,5.82,1.016,28.352,3.836,290.764,10.7,0.176,0.013192829923924558,0.009258367610845909,0.0031640780839443674,0.0007703842291342807,0.5965662874358586,0.2677910607915698,0.23099145698917334,0.03679960380239645,0.09750863243042468,0.0034942427535733446,0.020016233096256757,0.0698848550714669,0.004113301509127677,0.000605301894319792,0.024335887523902547
1945,CA,California,1523000.0,7644000.0,2196000.0,2385000.0,563000.0,43891000.0,22555000.0,15633000.0,12397000.0,4706000.0,1031000.0,8685000.0,11363000.0,100354000.0,28258000.0,1463000.0,6.092,30.576,8.784,9.54,2.252,175.564,90.22,62.532,49.588,18.824,4.124,34.74,45.452,401.416,113.032,5.852,0.11322916874265102,0.07617035693644499,0.02188253582318592,0.01517627598302011,0.22475436953185723,0.437361739442374,0.1557785439544014,0.28158319548797256,0.08654363553022301,0.010273631345038564,0.04689399525679096,0.02376586882436176,0.005610140104031728,0.014578392490583335,0.12353269426231142
1945,CO,Colorado,1493000.0,6549000.0,515000.0,745000.0,222000.0,19533000.0,33096000.0,14933000.0,3092000.0,521000.0,667000.0,2155000.0,8557000.0,66539000.0,4600000.0,106000.0,5.972,26.196,2.06,2.98,0.888,78.132,132.384,59.732,12.368,2.084,2.668,8.62,34.228,266.156,18.4,0.424,0.12860127143479763,0.09842348096604998,0.007739821758667849,0.022437968710079803,0.4973925066502352,0.2935571619651633,0.22442477344113979,0.06913238852402351,0.03238702114549362,0.010024196335983409,0.007829994439351357,0.011196441184869024,0.00333638918528983,0.0015930506920753243,0.04646898811223493
1945,CT,Connecticut,22000.0,436000.0,72000.0,0.0,44000.0,1833000.0,270000.0,208000.0,85000.0,16000.0,97000.0,157000.0,530000.0,3135000.0,1625000.0,260000.0,0.088,1.744,0.288,0.0,0.176,7.332,1.08,0.832,0.34,0.064,0.388,0.628,2.12,12.54,6.5,1.04,0.16905901116427433,0.1390749601275917,0.022966507177033493,0.007017543859649123,0.0861244019138756,0.584688995215311,0.06634768740031897,0.518341307814992,0.05007974481658692,0.03094098883572568,0.005103668261562998,0.0,0.014035087719298246,0.08293460925039872,0.02711323763955343
1945,DE,Delaware,68000.0,433000.0,63000.0,16000.0,22000.0,442000.0,40000.0,14000.0,122000.0,14000.0,23000.0,75000.0,564000.0,1266000.0,428000.0,23000.0,0.272,1.732,0.252,0.064,0.088,1.768,0.16,0.056,0.488,0.056,0.092,0.3,2.256,5.064,1.712,0.092,0.44549763033175355,0.3420221169036335,0.04976303317535545,0.053712480252764615,0.0315955766192733,0.34913112164297,0.011058451816745656,0.3380726698262243,0.05924170616113744,0.018167456556082148,0.011058451816745656,0.01263823064770932,0.017377567140600316,0.018167456556082148,0.09636650868878358
1945,FL,Florida,474000.0,1840000.0,563000.0,837000.0,230000.0,22759000.0,4006000.0,19561000.0,3008000.0,131000.0,367000.0,1565000.0,2877000.0,34728000.0,3198000.0,513000.0,1.896,7.36,2.252,3.348,0.92,91.036,16.024,78.244,12.032,0.524,1.468,6.26,11.508,138.912,12.792,2.052,0.08284381478921908,0.05298318359824925,0.01621170237272518,0.013648928818244643,0.11535360516010136,0.6553501497350841,0.5632630730246487,0.09208707671043538,0.045064501266989174,0.010567841511172541,0.003772172310527528,0.024101589495507947,0.0066228979497811565,0.01477194194885971,0.0866159870997466
1945,GA,Georgia,1944000.0,7915000.0,784000.0,567000.0,292000.0,21028000.0,1611000.0,15489000.0,2016000.0,414000.0,519000.0,1792000.0,10643000.0,37452000.0,5539000.0,362000.0,7.776,31.66,3.136,2.268,1.168,84.112,6.444,61.956,8.064,1.656,2.076,7.168,42.572,149.808,22.156,1.448,0.2841770799957279,0.21133717825483286,0.02093346149738332,0.051906440243511695,0.04301505927587312,0.5614653423048168,0.4135693687920538,0.147895973512763,0.04784791199401901,0.013857737904517782,0.011054149311118231,0.015139378404357577,0.007796646374025419,0.009665705436291788,0.05382890099327139
1945,IA,Iowa,175000.0,22155000.0,2612000.0,60000.0,640000.0,2224000.0,5759000.0,1325000.0,851000.0,46000.0,896000.0,1642000.0,24942000.0,35831000.0,899000.0,413000.0,0.7,88.62,10.448,0.24,2.56,8.896,23.036,5.3,3.404,0.184,3.584,6.568,99.768,143.324,3.596,1.652,0.696101141469677,0.618319332421646,0.07289777008735453,0.004884038960676509,0.16072674499734865,0.06206915799168318,0.036979152130836426,0.025090005860846754,0.04582623984817616,0.025006279478663726,0.0012838045268063966,0.0016745276436605173,0.01786162819904552,0.011526331947196562,0.023750383745918337
